GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Super CSV Annotation,com.github.mygreen.supercsv.builder.joda,MonthDayProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.joda,LocalTimeProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.joda,LocalDateTimeProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.joda,LocalDateProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.joda,YearMonthProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.joda,DateTimeProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.joda,AbstractJodaProcessorBuilder,0,146,0,10,0,35,0,13,0,8
Super CSV Annotation,com.github.mygreen.supercsv.expression,CustomFunctions,3,124,0,22,1,36,1,21,1,10
Super CSV Annotation,com.github.mygreen.supercsv.expression,ObjectCache,78,52,10,4,13,15,9,4,3,3
Super CSV Annotation,com.github.mygreen.supercsv.expression,ExpressionLanguageJEXLImpl,0,80,1,3,0,19,1,6,0,5
Super CSV Annotation,com.github.mygreen.supercsv.expression,ExpressionEvaluationException,6,11,0,0,2,4,2,1,2,1
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,YearMonthProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,LocalDateTimeProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,AbstractTemporalProcessorBuilder,0,140,0,10,0,31,0,13,0,8
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,YearProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,MonthDayProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,OffsetTimeProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,LocalDateProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,OffsetDateTimeProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,LocalTimeProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.builder.time,ZonedDateTimeProcessorBuilder,0,5,0,0,0,2,0,2,0,2
Super CSV Annotation,com.github.mygreen.supercsv.annotation,PatternFlag,5,96,0,0,0,12,1,4,1,4
Super CSV Annotation,com.github.mygreen.supercsv.cellprocessor.format,BooleanFormatter,0,207,0,14,0,39,0,15,0,8
Super CSV Annotation,com.github.mygreen.supercsv.cellprocessor.format,SimpleNumberFormatter,13,337,1,69,1,52,1,43,0,9
Super CSV Annotation,com.github.mygreen.supercsv.cellprocessor.format,JodaFormatWrapper,40,104,2,4,6,22,2,8,0,7
Super CSV Annotation,com.github.mygreen.supercsv.cellprocessor.format,TextParseException,17,38,0,0,6,10,3,3,3,3
Super CSV Annotation,com.github.mygreen.supercsv.cellprocessor.format,NumberFormatWrapper,2,376,1,73,1,66,1,47,0,11
